Country	Exchange	Suffix	Delay	Data Provider
United States of America	American Stock Exchange	N/A	15 min	Direct from Exchange
United States of America	BATS Exchange	N/A	Real-time	Direct from Exchange
United States of America	Chicago Board of Trade	.CBT	10 min	Interactive Data Real-Time Services
United States of America	Chicago Mercantile Exchange	.CME	10 min	Interactive Data Real-Time Services
United States of America	Dow Jones Indexes	N/A	Real-time	Interactive Data Real-Time Services
United States of America	NASDAQ Stock Exchange	N/A	15 min	Direct from Exchange
United States of America	New York Board of Trade	.NYB	30 min	Interactive Data Real-Time Services
United States of America	New York Commodities Exchange	.CMX	30 min	Interactive Data Real-Time Services
United States of America	New York Mercantile Exchange	.NYM	30 min	Interactive Data Real-Time Services
United States of America	New York Stock Exchange	N/A	15 min	Direct from Exchange
United States of America	OTC Bulletin Board Market	.OB	20 min	Direct from Exchange
United States of America	Pink Sheets	.PK	15 min	Direct from Exchange
United States of America	S & P Indices	N/A	Real-time	Interactive Data Real-Time Services
Argentina	Buenos Aires Stock Exchange	.BA	30 min	Interactive Data Real-Time Services
Austria	Vienna Stock Exchange	.VI	15 min	Telekurs
Australia	Australian Stock Exchange	.AX	20 min	Interactive Data Real-Time Services
Belgium	Brussels Stocks	.BR	15 min	
Brazil	BOVESPA – Sao Paolo Stock Exchange	.SA	15 min	Interactive Data Real-Time Services
Canada	Toronto Stock Exchange	.TO	15 min	Interactive Data Real-Time Services
Canada	TSX Venture Exchange	.V	15 min	Interactive Data Real-Time Services
Chile	Santiago Stock Exchange	.SN	15 min	Interactive Data Real-Time Services
China	Shanghai Stock Exchange	.SS	30 min	Interactive Data Real-Time Services
China	Shenzhen Stock Exchange	.SZ	30 min	Interactive Data Real-Time Services
Denmark	Copenhagen Stock Exchange	.CO	15 min	Telekurs
France	Euronext	.NX	15 min	Telekurs
France	Paris Stock Exchange	.PA	15 min	Telekurs
Germany	Berlin Stock Exchange	.BE	15 min	Telekurs
Germany	Bremen Stock Exchange	.BM	15 min	Telekurs
Germany	Dusseldorf Stock Exchange	.DU	15 min	Telekurs
Germany	Frankfurt Stock Exchange	.F	15 min	Telekurs
Germany	Hamburg Stock Exchange	.HM	15 min	Telekurs
Germany	Hanover Stock Exchange	.HA	15 min	Telekurs
Germany	Munich Stock Exchange	.MU	15 min	Telekurs
Germany	Stuttgart Stock Exchange	.SG	15 min	Telekurs
Germany	XETRA Stock Exchange	.DE	15 min	Telekurs
Hong Kong	Hong Kong Stock Exchange	.HK	15 min	Interactive Data Real-Time Services
India	Bombay Stock Exchange	.BO	15 min	Interactive Data Real-Time Services
India	National Stock Exchange of India	.NS	15 min	National Stock Exchange of India
Indonesia	Jakarta Stock Exchange	.JK	10 min	Interactive Data Real-Time Services
Israel	Tel Aviv Stock Exchange	.TA	20 min	Telekurs
Italy	Milan Stock Exchange	.MI	20 min	Telekurs
Japan	Nikkei Indices	N/A	30 min	Interactive Data Real-Time Services
Mexico	Mexico Stock Exchange	.MX	20 min	Telekurs
Netherlands	Amsterdam Stock Exchange	.AS	15 min	Telekurs
New Zealand	New Zealand Stock Exchange	.NZ	20 min	Interactive Data Real-Time Services
Norway	Oslo Stock Exchange	.OL	15 min	Telekurs
Portugal	Lisbon Stocks	.LS	15 min	
Singapore	Singapore Stock Exchange	.SI	20 min	Interactive Data Real-Time Services
South Korea	Korea Stock Exchange	.KS	20 min	Interactive Data Real-Time Services
South Korea	KOSDAQ	.KQ	20 min	Interactive Data Real-Time Services
Spain	Barcelona Stock Exchange	.BC	15 min	Telekurs
Spain	Bilbao Stock Exchange	.BI	15 min	Telekurs
Spain	Madrid Fixed Income Market	.MF	15 min	Telekurs
Spain	Madrid SE C.A.T.S.	.MC	15 min	Telekurs
Spain	Madrid Stock Exchange	.MA	15 min	Telekurs
Sweden	Stockholm Stock Exchange	.ST	15 min	Telekurs
Switzerland	Swiss Exchange	.SW	30 min	Telekurs
Taiwan	Taiwan OTC Exchange	.TWO	20 min	Interactive Data Real-Time Services
Taiwan	Taiwan Stock Exchange	.TW	20 min	Interactive Data Real-Time Services
United Kingdom	FTSE Indices	N/A	15 min	Telekurs
United Kingdom	London Stock Exchange	.L	20 min	Telekurs
